text,emotion
每天都提不起精神,depressed
我好像失去了所有的兴趣,depressed
真的什么都不想做了,depressed
整个人都好无力,depressed
我觉得自己一无是处,depressed
不管做什么都提不起劲,depressed
感觉全世界都跟我没关系,depressed
每天都好低落,depressed
我已经很久没有开心过了,depressed
感觉自己越来越差了,depressed
做什么都觉得没意思,depressed
最近心情一直很不好,depressed
感觉自己被整个世界抛弃了,depressed
我真的很没用,depressed
每天都浑浑噩噩的,depressed
我不知道自己在干什么,depressed
感觉自己什么都不会,depressed
真的觉得自己好差劲,depressed
好久都没有感受到快乐了,depressed
每天都是一样的丧,depressed
我已经放弃努力了,depressed
感觉自己越来越糟糕了,depressed
每天都在摆烂,depressed
真的没有什么值得开心的事情,depressed
我觉得自己什么都做不好,depressed
每天就是躺着刷手机,depressed
心情一直很低落,depressed
感觉自己被所有人忘记了,depressed
真的什么都不想管了,depressed
已经没有动力做任何事了,depressed
我不知道活着为了什么,depressed
每天都在混日子,depressed
感觉自己就是个废人,depressed
最近的情绪一直很差,depressed
已经不想跟任何人说话了,depressed
对什么都没有兴趣,depressed
感觉自己很孤独,depressed
每天都在消耗自己,depressed
我真的好想哭,depressed
不知道为什么总是很难过,depressed
感觉自己被黑暗包围了,depressed
干什么都没意思,depressed
我觉得自己好失败,depressed
每天都很丧,depressed
根本不想出门,depressed
已经很久没有跟朋友聊天了,depressed
感觉自己不配被喜欢,depressed
我真的好难过,depressed
每天都在想自己的各种缺点,depressed
没有任何一件事情让我开心,depressed
感觉自己永远都好不起来,depressed
我觉得自己糟透了,depressed
每天都是灰蒙蒙的,depressed
我已经对什么都麻木了,depressed
真的好累但是睡不着,depressed
感觉自己什么都改变不了,depressed
已经不想努力了,depressed
不知道自己还能撑多久,depressed
每天都在想那些不开心的事,depressed
我觉得一切都是我的错,depressed
真的好绝望,depressed
感觉自己没有未来,depressed
什么都不想做就想睡觉,depressed
每天都是无尽的空虚感,depressed
我已经不在乎任何事了,depressed
感觉自己永远都不会好了,depressed
真的觉得一切都好没意思,depressed
每天都在怀疑自己的价值,depressed
我真的很讨厌自己,depressed
不知道为什么活着就这么难,depressed
感觉自己被所有人嫌弃,depressed
每天都好想哭但是哭不出来,depressed
我已经很久没出过门了,depressed
做什么都没动力,depressed
感觉整个世界都是灰色的,depressed
我好怕考砸了怎么办,anxious
明天要考试了紧张死了,anxious
感觉这次考试肯定完蛋了,anxious
我好焦虑啊睡不着,anxious
一直在想考试的事停不下来,anxious
担心的事情太多了,anxious
我好害怕挂科,anxious
成绩出来之前我好慌,anxious
我怕让爸妈失望,anxious
感觉自己一直在担心未来,anxious
一想到前途就焦虑,anxious
我好怕自己考不上好大学,anxious
面试的时候紧张到发抖,anxious
真的好怕被别人嘲笑,anxious
我担心自己选错了路,anxious
每天都在焦虑各种事情,anxious
考试前就失眠,anxious
我感觉自己一直在恐慌,anxious
真的好怕来不及,anxious
什么都怕出错,anxious
想到明天的事就紧张,anxious
我好担心成绩会下滑,anxious
考试的时候手都在抖,anxious
感觉脑子里全是担心的事,anxious
我好怕自己不够好,anxious
每次上台发言都紧张,anxious
真的好怕被老师点名,anxious
怕自己拼了命还是不行,anxious
我一直在想万一失败了怎么办,anxious
真的好慌啊,anxious
感觉自己做什么都不对,anxious
很怕自己的努力没有用,anxious
一到大考就焦虑得不行,anxious
我真的好怕让父母失望,anxious
担心自己跟不上别人的进度,anxious
每天都在担心各种事情,anxious
我好怕被别人看不起,anxious
真的好紧张不知道该怎么办,anxious
感觉有太多事情要做完不成了,anxious
想到要当众讲话就害怕,anxious
我真的好怕搞砸了,anxious
每次考试之前都会很焦虑,anxious
我好担心自己选的科目不对,anxious
一直在焦虑未来的事情,anxious
真的好怕被批评,anxious
想到高考就紧张,anxious
我感觉自己快要撑不住了,depressed
每天都好焦虑,anxious
怕自己考不过怎么办,anxious
真的好害怕未来,anxious
每次出成绩之前都好紧张,anxious
我总是忍不住想最坏的结果,anxious
真的好怕自己做不好,anxious
感觉什么都是威胁,anxious
担心自己被孤立,anxious
真的好焦虑好焦虑,anxious
考试前一晚完全睡不着,anxious
怕自己努力了也没用,anxious
我感觉整个人都绷得很紧,anxious
真的好怕丢脸,anxious
想到要跟陌生人说话就紧张,anxious
我一直在纠结要不要去做,anxious
真的好怕犯错,anxious
每次想到未完成的事就焦虑,anxious
怕自己选的专业以后不好找工作,anxious
每天都在担心好多事情,anxious
我总是想太多,anxious
真的好怕自己配不上别人的期待,anxious
感觉心里七上八下的,anxious
考试的时候脑子一片空白,anxious
我好怕被同学议论,anxious
真的控制不住地焦虑,anxious
想到父母会生气的样子就好怕,anxious
我已经焦虑好几天了,anxious
真的好怕自己会出问题,anxious
每次要做决定就纠结半天,anxious
感觉自己随时都要崩溃,anxious
真的好怕被发现其实什么都不会,anxious
一想到要公布排名就好紧张,anxious
担心老师觉得我不够努力,anxious
我真的好怕考试的时候出状况,anxious
想到要做小组汇报就发抖,anxious
真的好怕被人讨厌,anxious
每次测验前都紧张到胃疼,anxious
我真的好怕来不及补救,anxious
作业太多根本写不完,stressed
DDL要到了我好崩溃,stressed
这周有五个考试快疯了,stressed
压力好大啊,stressed
感觉自己快要爆了,stressed
卷不动了真的卷不动了,stressed
每天都在被作业追着跑,stressed
学习压力好大撑不住了,stressed
真的好累已经连续熬夜好几天了,stressed
感觉什么都做不完,stressed
作业堆成山了,stressed
真的忙到爆炸,stressed
每天都是上课作业上课作业,stressed
我已经好几天没好好睡觉了,stressed
课太多了一天到晚都在上,stressed
感觉自己像个机器人,stressed
作业写不完考试也来不及复习,stressed
真的好烦每天都是这么多事,stressed
我已经连轴转好几天了,stressed
感觉快要被压垮了,stressed
每天的时间根本不够用,stressed
考不完的试写不完的作业,stressed
真的好累好累,stressed
学习真的太累了,stressed
我已经筋疲力尽了,stressed
每天都在赶DDL,stressed
感觉自己像个陀螺一样转个不停,stressed
周末也在补课没有休息时间,stressed
作业永远写不完,stressed
我已经累到不想说话了,stressed
真的好崩溃,depressed
每天睁开眼就是学习,stressed
感觉被压得喘不过气来,stressed
我已经好久没有好好休息了,stressed
学校的事情太多了,stressed
每天都是赶赶赶,stressed
真的快要被逼疯了,stressed
感觉自己已经到极限了,stressed
作业考试补习班全堆在一起,stressed
我真的好忙,stressed
每天的时间都不够用,stressed
已经开始掉头发了,stressed
我都没有时间做自己喜欢的事,stressed
学习任务太重了,stressed
真的感觉快要撑不住了,depressed
每天都是满课,stressed
已经很累但还是要继续,stressed
作业也太多了吧,stressed
真的快要忙死了,stressed
每天都有做不完的事,stressed
感觉自己一直在跑但永远追不上,stressed
各种补习班排满了,stressed
连吃个饭的时间都没有,stressed
真的好累啊,stressed
我已经加班学习到凌晨了,stressed
感觉压力要把我压扁了,stressed
真的忙到怀疑人生,stressed
每天都像打仗一样,stressed
我真的快崩溃了,depressed
作业补不完考试又要来了,stressed
各种事情堆在一起我处理不过来,stressed
连续好几天只睡了四五个小时,stressed
我真的很累但停下来又觉得愧疚,stressed
每天都被各种DDL追着,stressed
真的好烦每天都有新的任务,stressed
学习压力大到自己都开始头痛了,stressed
我真的忙到分身乏术,stressed
感觉时间永远不够用,stressed
已经连续学习十几个小时了,stressed
快被作业淹没了,stressed
周末还要上课真的受够了,stressed
我已经没有自己的生活了,stressed
每天都在高压下度过,stressed
感觉每天都被推着往前走停不下来,stressed
每天都要背那么多单词我真的头大,stressed
各科老师布置的作业加起来太多了,stressed
每天晚上学到十二点还是写不完,stressed
感觉一天二十四小时根本不够用,stressed
学校活动和学习冲突真的好烦,stressed
我真的已经没有精力了,stressed
每天都有新的事情冒出来,stressed
又要写论文又要做实验快崩溃了,stressed
这学期的课业量也太大了,stressed
今天心情超好,happy
哈哈哈太开心了,happy
今天发生了超棒的事情,happy
成绩出来了考得还不错,happy
终于把作业写完了开心,happy
今天跟朋友出去玩了超开心,happy
这次考试超常发挥了,happy
居然被老师表扬了好开心,happy
今天收到了好多生日祝福,happy
好开心终于放假了,happy
今天天气好好心情也很棒,happy
考试顺利通过了开心,happy
终于把那篇论文写完了,happy
今天真的太快乐了,happy
和好朋友聊天聊了一下午超开心,happy
被暗恋的人注意到我了开心,happy
今天吃到了超好吃的蛋糕,happy
今天 everything is awesome,happy
终于把那道难题解出来了开心,happy
今天真的好开心好开心,happy
比赛拿了一等奖太激动了,happy
感觉自己棒棒的,happy
考完试了整个人都轻松了,happy
今天被夸了好几次,happy
和朋友们在一起真的好开心,happy
今天是完美的一天,happy
我觉得自己超厉害,happy
终于完成目标了,happy
今天真的超级开心,happy
哈哈笑到停不下来,happy
真的太开心了要飞起来了,happy
感觉自己走在云端一样,happy
今天一切都很顺利,happy
今天过得很充实也很快乐,happy
真的超开心,happy
体育课打篮球赢了,happy
今天交到了新朋友,happy
和同学一起完成了一个超酷的项目,happy
今天真的笑了一整天,happy
居然拿了奖学金开心,happy
心情好到想唱歌,happy
今天收到了一个超棒的惊喜,happy
真的感觉人生充满了希望,happy
今天认识了一个很有趣的人,happy
和朋友去吃了一顿超好吃的,happy
这次期末考得比预期好太多了,happy
被选为班代表真的好激动,happy
今天真是完美的一天啊,happy
真的好幸福,happy
今天的阳光特别暖心情也特别暖,happy
感觉自己所有付出都值得了,happy
终于不用再为考试发愁了,happy
今天跟同学开黑赢了超开心,happy
感觉全世界都在对我微笑,happy
今天收到了心仪学校的offer,happy
真的好开心好满足,happy
和最好的朋友一起度过了超棒的一天,happy
突然觉得生活真美好,happy
今天笑到脸都疼了,happy
真的太激动了,happy
感觉整个世界都亮了,happy
今天的一切都刚刚好,happy
被老师说有进步了好开心,happy
一切都在变好呢,happy
真的觉得好幸运,happy
今天真的好有成就感,happy
感觉自己终于配得上那些努力了,happy
和朋友一起逛街买到了喜欢的东西,happy
今天完全没有烦恼,happy
真的太激动了说话都在发抖,happy
好开心好开心好开心,happy
感觉今天所有的运气都用在了好事上,happy
今天被大家围着唱生日歌真的好感动,happy
一切都好顺利,happy
今天的心情就像阳光一样灿烂,happy
真的好开心感觉全世界都是粉色的,happy
觉得今天是自己最棒的一天,happy
完全不想结束今天,happy
感觉今天全世界都在说恭喜,happy
今天被朋友说了一句你真的很棒,happy
好久没有这么开心过了,happy
今天一切都在往好的方向走,happy
努力终于有结果了超开心,happy
加油我可以的,positive
今天也要元气满满地开始,positive
相信自己一定行,positive
虽然很难但我要坚持,positive
每天都在进步哪怕一点点,positive
我要变得更好,positive
这学期一定好好努力,positive
我已经有进步了,positive
继续加油不放弃,positive
不管怎样都要试试,positive
今天的状态还不错,positive
给自己打打气,positive
相信努力会有回报的,positive
虽然累但很充实,positive
我觉得自己可以做到,positive
一步一步来总会好的,positive
已经比昨天好了,positive
保持积极的心态,positive
继续前进不要回头,positive
今天的学习效率还不错,positive
虽然很忙但也挺充实的,positive
我觉得未来还是有希望的,positive
加油加油,positive
没关系下次再来,positive
其实也没那么糟,positive
一切都会好起来的,positive
我决定从今天开始改变,positive
虽然不容易但我不会放弃,positive
每天都给自己一个小目标,positive
我觉得自己正在慢慢变好,positive
这次虽然没考好但下次会更好,positive
不能就这么认输,positive
至少我努力过了,positive
明天又是新的一天,positive
我要做一个更好的人,positive
已经走出低谷了,positive
生活还是有很多美好的事情,positive
重新开始也不晚,positive
我相信自己,positive
虽然过程很痛苦但结果会好的,positive
我要把握每一天,positive
总有一天会到达目的地的,positive
加油你是最棒的,positive
我要好好珍惜现在,positive
困难只是暂时的,positive
已经迈出了第一步,positive
我要微笑着面对一切,positive
就算再难也要坚持到底,positive
每一天都是一个新的机会,positive
我要变得更自信,positive
相信自己做的每一件事都会有意义,positive
不急慢慢来,positive
已经找到方向了,positive
虽然还有很长的路但我会走下去,positive
现在的努力都是为将来做铺垫,positive
我要好好珍惜身边的人,positive
只要不放弃就还有机会,positive
其实我已经比很多人都幸运了,positive
保持乐观继续前行,positive
我觉得自己越来越好了,positive
每天进步一点点就很棒了,positive
这次一定可以的,positive
没有什么过不去的坎,positive
我觉得生活还是充满希望的,positive
勇敢面对就好,positive
我要给自己一个机会,positive
虽然之前失败过但这次我要赢,positive
不要害怕犯错,positive
每天都比昨天好一点就足够了,positive
继续加油吧,positive
努力的人运气不会太差,positive
已经看到曙光了,positive
这次的困难一定能克服,positive
我相信只要坚持就一定有希望,positive
未来可期,positive
我要做一个正能量的人,positive
虽然不容易但每一步都算数,positive
已经慢慢走出困境了,positive
今天也很努力了值得表扬自己,positive
没有什么是学不会的,positive
今天吃了面条,neutral
明天有数学课,neutral
作业是第三章的习题,neutral
今天放学去图书馆,neutral
下周有期末考试,neutral
今天上了四节课,neutral
中午吃了食堂的饭,neutral
今天挺普通的,neutral
作业写了一半,neutral
明天要交报告,neutral
今天去超市买了点东西,neutral
这周末有补习班,neutral
今天翻了一下课本,neutral
大概看了一下笔记,neutral
明天有体育课,neutral
今天看了部电影,neutral
作业还没开始写,neutral
今天没什么特别的,neutral
课间和同学聊了会天,neutral
今天没发生什么,neutral
看了两集电视剧,neutral
今天坐公交去的学校,neutral
天气预报说明天有雨,neutral
中午在教室休息了一会,neutral
今天听了一首新歌,neutral
英语课讲的是定语从句,neutral
放学回家路上看到一只猫,neutral
今天的课一般般,neutral
作业就是那几道题,neutral
下午有一节自习课,neutral
今天走了不少路,neutral
晚饭吃了米饭,neutral
今天换了新文具,neutral
书包有点重,neutral
明天要带美术用品,neutral
今天看了会儿书,neutral
手机还有百分之三十的电,neutral
今天早上起得挺早的,neutral
课表这周有变化,neutral
今天的课间挺短的,neutral
中午随便吃了点,neutral
今天骑自行车上的学,neutral
作业还剩一些没写,neutral
今天老师讲得一般般,neutral
下节课在哪个教室来着,neutral
今天好像忘带笔了,neutral
学校门口新开了一家奶茶店,neutral
这周五有班会,neutral
今天的课就这些了,neutral
同学问我借了个橡皮,neutral
今天中午没午休,neutral
下午提前下课了,neutral
学校的WiFi今天特别慢,neutral
明天要穿校服,neutral
今天去学校旁边的小卖部买了一瓶水,neutral
下周一要交作文,neutral
今天食堂的菜还行吧,neutral
书包里好像多了几本书,neutral
今天好像挺平静的,neutral
早上出门的时候下了点小雨,neutral
教室的空调今天挺冷的,neutral
今天换了座位,neutral
下午最后一节是历史课,neutral
最近上课的内容还行,neutral
今天步行回家的,neutral
放学路上和同学说了会儿话,neutral
今天穿了一件新衣服,neutral
老师说下周五有测验,neutral
今天把笔记整理了一下,neutral
中午在学校食堂吃的,neutral
今天的作业不算多,neutral
回家后先写了会作业,neutral
明天有早读课,neutral
最近在看一本小说,neutral
今天翻了几页单词本,neutral
打算周末去趟书店,neutral
今天稍微复习了一下,neutral
下节课要做什么来着,neutral
今天还行吧不算太忙,neutral
课间休息的时候在走廊转了转,neutral
今天同桌请假了,neutral
快放学了,neutral
最近在考虑选什么课,neutral
今天接到了一个快递,neutral
下周要考化学,neutral
今天打了一会篮球,neutral
放学后打算去跑步,neutral
今天的午饭是汉堡,neutral
明天有语文小测,neutral
今天收拾了一下书桌,neutral
下课铃响了,neutral
今天的状态就是一般般,neutral
我好生气,angry
气死我了,angry
真的气炸了,angry
太气人了,angry
我真的愤怒,angry
好恼火啊,angry
烦死了,angry
烦透了,angry
好烦啊,angry
太烦了,angry
很烦,angry
超级烦,angry
心烦意乱,angry
烦躁不安,angry
烦人,angry
厌烦,angry
讨厌这个人,angry
厌恶,angry
气人,angry
气不过,angry
受不了了,angry
忍不了,angry
无语,angry
好无语,angry
窝火,angry
来气,angry
火大,angry
凭什么,angry
不公平,angry
不讲理,angry
被欺负了,angry
他欺负我,angry
同学欺负我,angry
吵架了,angry
和朋友吵架,angry
吵了一架,angry
闹翻了,angry
翻脸了,angry
打起来了,angry
气得发抖,angry
气到手抖,angry
气得想摔东西,angry
真的好气,angry
气到爆炸,angry
气炸了,angry
被冤枉了,angry
冤枉我,angry
不是我做的却被骂,angry
老师偏心,angry
凭什么说我,angry
明明不是我的错,angry
好烦好烦,angry
烦到想哭,angry
烦得睡不着,angry
看不惯,angry
受不了他,angry
恶心,angry
心烦,angry
烦躁,angry
气死了,angry
气死,angry
气,angry
好气,angry
被误会了,angry
误会我,angry
不想理他,angry
他太过分了,angry
太过分,angry
怎么能这样,angry
气得我,angry
气死我了真的,angry
气到无语,angry
被针对了,angry
针对我,angry
故意刁难我,angry
好烦啊真的,angry
烦得要死,angry
气不打一处来,angry
火冒三丈,angry
怒了,angry
今天学到了新知识,happy
学到了新技能,happy
今天有收获,happy
学到很多东西,happy
终于懂了,happy
明白了,happy
搞明白了,happy
有成就感,happy
感到自豪,happy
骄傲,happy
考好了,happy
考了满分,happy
得了高分,happy
第一名,happy
进步了,happy
被老师夸了,happy
被表扬了,happy
获得认可,happy
得奖了,happy
获奖了,happy
学会了新东西,happy
掌握了新知识,happy
今天很有收获,happy
解出来了,happy
终于做出来了,happy
完成了任务,happy
搞定了,happy
太好了,happy
完美,happy
幸运,happy
好难受,depressed
很难受,depressed
不舒服,depressed
好痛苦,depressed
很痛苦,depressed
糟透了,depressed
委屈,depressed
好委屈,depressed
心塞,depressed
心酸,depressed
心碎,depressed
心痛,depressed
撑不住了,depressed
扛不住了,depressed
坚持不下去,depressed
好累啊,depressed
太累了,depressed
累死了,depressed
崩溃了,depressed
想放弃,depressed
越想越紧张,anxious
脑子里一片空白,anxious
万一期末考砸了怎么办,anxious
紧张到手抖,anxious
心跳好快,anxious
害怕考不上,anxious
坐立不安,anxious
心神不宁,anxious
慌张,anxious
忐忑不安,anxious
考试周来了,stressed
期末复习不完,stressed
作业太多了,stressed
写不完作业,stressed
补课好累,stressed
辅导班太多,stressed
熬夜写作业,stressed
只睡了三个小时,stressed
忙死了,stressed
忙不过来,stressed
